course,code
Architecture et construction de la ville ii,AR-452
Argamassa armada in salvador de bahia,PENS-308
Art et histoire des jardins,AR-453
Artificial photosynthesis,CH-426
Arts et histoires de l'environnement i,AR-365
Arts et histoires de l'environnement ii,AR-366
Asian studies,HUM-265(a)
Assembly techniques,MSE-464
Astrophysics iii : stellar and galactic dynamics,PHYS-401
Astrophysics iv : observational cosmology,PHYS-402
Astrophysique ii : bases physiques de l'astrophysique,PHYS-323
Astrophysique i : introduction ‡ l'astrophysique,PHYS-209
Atomes et rayonnement,CH-360
"Atomes, ions, molècules et fonctions",CH-102
Atomistic and quantum simulations of materials,MSE-468
Audio,EE-548
Audio signal processing and virtual acoustics,COM-415
Automatic speech processing,EE-554
Automatique + tp,ME-325
Autre contribution ‡ l'enseignement,
Autre contribution ‡ l'enseignement,
B2b - high-tech marketing,MGT-402
Barrages et ouvrages hydrauliques annexes,CIVIL-411
Bases de la robotique,MICRO-450
Beyond-design-basis safety,ETH-532
Bioanalytics and analytical sensors,CH-402
Biochemical engineering,ChE-311
Biochemistry ii,CH-313
Biochimie,ENV-100
Biochimie i,CH-210
Bioelectronics and implantable biomedical microelectronics,EE-519
Bio-ingènierie des cours døeau et milieux naturels,ENV-420
Bioinorganic chemistry,CH-321
Biological chemistry ii (for sv),BIO-212
Biological chemistry iii,BIO-213
Biological modeling of neural networks,BIO-465
Biologie,ENV-101
Biologie cellulaire et molèculaire i,BIO-205
Biologie cellulaire et molèculaire ii,BIO-207
Biologie du dèveloppement,BIO-221
Biologie i,BIO-103
Biologie ii,BIO-104
Biologie (pour cms),PREPA-009
Biologie (pour cms),PREPA-010
Biomaterials,BIOENG-442
Biomaterials (pour mx),MSE-471
Biomechanics of the cardiovascular system,ME-481
Biomechanics of the musculoskeletal system,ME-482
Biomedical optics,BIOENG-445
Biomedical signal processing,EE-512
Biomems,MICRO-560
Biomicroscopy i,MICRO-561
Biomicroscopy ii,MICRO-562
Biomineralization: from nature to application,ENV-406
Biomolecular structure and mechanics,BIO-315
Bio-nano-chip design,EE-517
Biophysics i,PHYS-301
Biophysics ii,PHYS-302
Bioprocesses and downstream processing,ChE-437
Bioreactor modeling and simulation,ChE-320
Biostatistics,MATH-449
Biotechnology lab (for cgc),BIOENG-433
Brain computer interaction,EE-514
Business design for it services,CS-490
Business information systems,MGT-429
Calcul des variations,MATH-437
Calcul quantique,CS-308
Cancer biology i,BIO-471
Cancer biology ii,BIO-472
Capteurs,MICRO-330
Caractëres architecturaux et urbanismes de l'islam,AR-457
Catalysis for emission control and energy processes,ChE-410
Catalysis for energy storage,CH-421
Catalyst design for synthesis,CH-422
Catalytic asymmetric reactions in organic chemistry,CH-435
Cavitation et phènomënes d'interface,ME-462
Cellular biology and biochemistry for engineers,BIO-105
Cellular signalling,CH-411
Cementitious materials (advanced),MSE-420
"Ceramics, structures and properties + tp",MSE-231
"Cerveau, esprit et sociètè",HUM-256
Chemical biology,CH-412
Chemical biology - tools and methods,BIOENG-447
Chemical engineering lab & project,ChE-409
Chemical engineering of heterogenous reactions,ChE-403
Chemical engineering product design,ChE-413
Chemical kinetics,CH-342
Chemical thermodynamics,CH-241
Chemistry of elements s and p,CH-221
Chemistry of food processes,ENG-435
Chemistry of small biological molecules,CH-415
Chimie analytique expèrimentale,CH-309(a)
Chimie des denrèes alimentaires,ENG-433
Chimie des surfaces,MICRO-270
Chimie gènèrale,CH-161(a)
Chimie gènèrale,CH-161(b)
Chimie gènèrale,CH-161(c)
Chimie gènèrale,CH-161(d)
Chimie gènèrale (anglais),CH-161(en)
Chimie gènèrale avancèe,CH-160(a)
Chimie gènèrale avancèe,CH-160(b)
Chimie gènèrale avancèe,CH-160(c)
Chimie gènèrale avancèe (‡ choix),
Chimie inorganique,CH-263
"Chimie organique, tp",CH-230
Chimie physique des interfaces,CH-341
Chimie physique expèrimentale,CH-349
Chimie (pour cms),PREPA-011
Chimie (pour cms),PREPA-012
Chimie prèparative i,CH-239
Chimie prèparative ii,CH-229
Chimie tp i ,CH-108(a)
Chimie tp ii,CH-109(a)
Chine contemporaine a,HUM-262(a)
Chine contemporaine b,HUM-323(a)
Chine: la renaissance d'une grande puissance i,HUM-434(a)
Chine: la renaissance d'une grande puissance ii,HUM-434(b)
Circuits and systems ii,EE-205
Circuits et systëmes èlectroniques i,EE-331
Circuits et systëmes èlectroniques ii,EE-332
Circuits et systëmes i,EE-204
Circuits intègrès i,EE-320
Classical electrodynamics,PHYS-324
Cognitive psychology b,HUM-316
Cohèrences aventureuses,AR-444
Combinatorial optimization,MATH-460
Commande d'actionneurs ‡ l'aide d'un microprocesseur + tp,MICRO-510
Commande de procèdès,ME-323
Commande non linèaire,ME-523
Commutative algebra,MATH-438
Comportement humain et sciences èconomiques,HUM-277
Comportement organisationnel a,HUM-346
Comportement organisationnel b,HUM-347
Composants semiconducteurs,MICRO-312
Composites polymëres + tp,MSE-340
Composites technology,MSE-440
Compound semiconductor electronic devices,EE-557
Computational finance,MATH-472
Computational linear algebra,MATH-453
Computational methods in molecular quantum mechanics,CH-452
Computational motor control,CS-432
Computational multiphase thermal fluid dynamics,ETH-433
Computational photography,CS-413
Computational physics iii,PHYS-332
Computational social media ,EE-727
Computer-aided engineering,ME-417
Computer architecture ,CS-208
Computer language processing,CS-320
Computer networks,COM-208
Computer simulation of physical systems i,PHYS-403
Computer simulation of physical systems ii,PHYS-404
Computer vision,CS-442
Conception de mècanismes i,MICRO-200
Conception de mècanismes ii,MICRO-201
Conception des ponts,CIVIL-330
Conception de systëmes numèriques,CS-173
Conception de systëmes numèriques pour el,EE-334
Conception et dimensionnement des structures en bois,CIVIL-331
Conception et gestion des systëmes de transport,CIVIL-350
Conception interactive des formes structurales,AR-483
Conception mècanique intègrèe,ME-418
Conception pour x,ME-312
"Conception, simulation et informatique",PENS-202
Concepts in ecological engineering,ENV-422
Concevoir des structures,AR-337
Concurrent algorithms,CS-453
Confort et architecture: stratègies durables,AR-442
Construction en bois,CIVIL-433
Construction et durabilitè i,AR-131
Construction et durabilitè ii,AR-132
Construction et durabilitè iii,AR-231
Construction et durabilitè iv,AR-232
Construction et durabilitè v,AR-331
Construction et durabilitè vi,AR-332
Construction mècanique ii (pour gm),ME-102
Construction mècanique ii (pour mt),ME-107
Construction mècanique i (pour gm),ME-101
Construction mècanique i (pour mt),ME-106
Construire dans les zones ‡ radiations naturelles,PENS-302
Control systems + tp,ME-321
Conversion d'ènergie,EE-360
Conversion èlectromècanique i,MICRO-213
Conversion èlectromècanique ii,MICRO-313
Conversion èlectromècanique tp,MICRO-314
Convexity,MATH-461
Convex optimization and applications,CS-454
Coopèration et dèveloppement,HUM-355
Coordination chemistry,CH-222
Coordination chemistry and reactivity of f elements,CH-427
Corporate governance,MGT-552
Corporate strategy,MGT-400
Corrosion et protection des mètaux + tp,MSE-311
Cours ethz,
Cours ethz,
Cours ethz 1,
Cours ethz 1,
"Cours euler, algëbre linèaire i",
"Cours euler, algëbre linèaire ii",
"Cours euler, analyse gymnase",
"Cours euler, analyse i",
"Cours euler, analyse ii",
"Cours euler, chimie gènèrale",
"Cours euler, gèomètrie ii",
"Cours euler, mathèmatiques i",
"Cours euler, mathèmatiques i",
"Cours euler, mathèmatiques ii",
"Cours euler, mathèmatiques ii",
"Cours euler, mathèmatiques iii",
"Cours euler, mathèmatiques iii",
"Cours euler, physique gènèrale i",
"Cours euler, physique gènèrale ii",
Cours institut national polytechnique de grenoble,
Cours politecnico di torino,
Cours uni fribourg,
Cours uni fribourg,
Cours uni genëve,
Cours uni genëve,
Cours unil - facultè de biologie et de mèdecine i (automne),
Cours unil - facultè de biologie et de mèdecine ii (automne),
Cours unil - facultè de biologie et de mèdecine ii (printemps),
Cours unil - facultè de biologie et de mèdecine i (printemps),
Cours unil - facultè de droit et des sciences criminelles i (automne),
Cours unil - facultè de droit et des sciences criminelles ii (automne),
Cours unil - facultè de droit et des sciences criminelles ii (printemps),
Cours unil - facultè de droit et des sciences criminelles i (printemps),
Cours unil - facultè des gèosciences et de l'environnement gse i (automne),
Cours unil - facultè des gèosciences et de l'environnement gse ii (automne),
Cours unil - facultè des gèosciences et de l'environnement gse ii (printemps),
Cours unil - facultè des gèosciences et de l'environnement gse i (printemps),
Cours unil - facultè des hautes ètudes commerciales hec i (automne),
Cours unil - facultè des hautes ètudes commerciales hec ii (automne),
Cours unil - facultè des hautes ètudes commerciales hec ii (printemps),
Cours unil - facultè des hautes ètudes commerciales hec i (printemps),
Cours unil - facultè des lettres i (automne),
Cours unil - facultè des lettres ii (printemps),
Cours unil - facultè des sciences sociales et politiques ssp i (automne),
Cours unil - facultè des sciences sociales et politiques ssp ii (automne),
Cours unil - facultè des sciences sociales et politiques ssp ii (printemps),
Cours unil - facultè des sciences sociales et politiques ssp i (printemps),
Cours uni neuch‚tel,
Cours uni neuch‚tel,
Credit risk,FIN-504
Croissance et dèveloppement durable,HUM-308
Cryptography and security,COM-401
Crystallography and diffraction methods,MSE-202
Culture mèdiatique i,HUM-404(a)
Culture mèdiatique ii,HUM-404(b)
Data analysis and model classification,EE-516
Database systems,CS-422
Data converter circuits and systems,EE-533
Data corpora,DH-401
Data science for business,MGT-432
Decision-aid methodologies in transportation,CIVIL-557
Decommissioning of nuclear power plants,ETH-533
Dèformations des matèriaux,MSE-310
De la structure ‡ l'ornement,AR-521
Derivatives,FIN-404
Design de sig,ENV-547
Design graphique i,HUM-205
Design graphique ii,HUM-224
Design graphique iii,HUM-305
Design graphique iv,HUM-326
Design graphique v,HUM-407(a)
Design graphique vi,HUM-407(b)
Design industriel i,HUM-206
Design industriel ii,HUM-225
Design industriel iii,HUM-306
Design industriel iv,HUM-327
Design industriel v,HUM-408(a)
Design industriel vi,HUM-408(b)
Design project,ENV-596
Design technologies for integrated systems,CS-472
Development engineering,ENV-470
Dèveloppement durable a,HUM-226
Dèveloppements en èconomie des transports,CIVIL-456
"Diagnostic en enac, dèmarche et outils de mesure",PENS-203
Didactique des mathèmatiques,HEP-407
Didactique des mathèmatiques au secondaire ii,HEP-403
Dielectric properties of materials,MSE-480
Differential geometry of framed curves,MATH-423
Difficult double double histories,AR-522
Diffraction methods in structural biology,PHYS-437
Digital 3d geometry processing,CS-446
Digital culture,DH-402
Digital education & learning analytics,CS-411
Digitisation and visualisation,DH-404
Discrete mathematics,MATH-260
Discrete optimization,MATH-261
Discriminations et marchè du travail,HUM-334(a)
Dispositifs micro- nanoèlectroniques,EE-333
Distributed algorithms,CS-451
Distributed information systems,CS-423
Distributed intelligent systems,ENG-466
Distribution de l'ènergie èlectrique,EE-371
Droit : contrats et responsabilitè professionnelle,ENV-466
"Droit de l'architecte, approfondissements : la rèalisation d'une construction",ENG-484
"Droit de l'architecte, introduction : contrats et concours",ENG-383
Droit de la recherche technologique,HUM-307
Droit des affaires,HUM-234
Droit et technique i,HUM-410(a)
Droit et technique ii,HUM-410(b)
"D. thinking: real problems, human-focused solutions",MGT-409
Du relevè numèrique ‡ la mesure du changement,PENS-303
Dynamical system theory for engineers,COM-502
Dynamique des structures,CIVIL-420
Dynamique des systëmes mècaniques,ME-311
Dynamique molèculaire et simulation monte-carlo,CH-351
Dynamique numèrique des solides et des structures,ME-473
Dynamiques spatiales et acteurs du territoire,AR-351
Early detection of innovation potential,MGT-500
Eco-friendly production and process intensification,ChE-408
Ecologie de la connaissance,HUM-245(a)
Ecologie gènèrale,ENV-220
Ecologie numèrique,ENV-521
Eco-morphologie fluviale,ENV-418
Econometrics,FIN-403
Economics of innovation,MGT-501
Economics of innovation in the biomedical industry,MGT-403
Economics of innovation & management in energy,MGT-407
Economie de la chine,HUM-249
Economie des rèseaux d'infrastructures,CIVIL-458
Economie et politique de l'ènergie i,HUM-411(c)
Economie et politique de l'ènergie ii,HUM-411(d)
Economie hydraulique,CIVIL-441
Economie spatiale et règionale,AR-492
Ecotoxicology,ENV-306
…coulement des fluides,ME-271
Elaboration des cèramiques et des colloôdes +tp,MSE-326
Electrical filters,EE-539
Electroacoustique,EE-348
Electrochemical engineering,ChE-407
Electrochemistry for materials technology,MSE-441
Electrochimie des solutions,CH-243
Electromagnetic compatibility,EE-576
Electromagnètisme ii : calcul des champs,EE-201
Electromagnètisme i : lignes et ondes,EE-200
Electronic spectroscopy,CH-444
Electronique,EE-280
Electronique i,EE-202
Electronique i,EE-202(b)
Electronique ii,EE-203
Electronique ii,EE-203(b)
Electronique iii,EE-381
"Electronique, labo",EE-380
Electron microscopy: advanced methods,MSE-450
Electrotechnique i,EE-100(B)
Electrotechnique ii,EE-102(B)
Elèments d'analyses urbaines et territoriales i,AR-151
Elèments d'analyses urbaines et territoriales ii,AR-152
Elèments de cheminformatique,CH-352
Elèments de gèomatique,ENV-140
Elliptic pde's,MATH-407
Embedded systems,CS-473
Energètique du b‚timent,ENG-445
Energie solaire et architecture,AR-449
Energy conversion and renewable energy,ME-409
Energy geostructures,CIVIL-444
Energy storage systems,EE-466
Energy systems engineering,ChE-304
Engineering geology for geo-energy,CIVIL-428
Engineering internship credited with master project (master in financial engineering),FIN-598
Engineering internship credited with master project (master in financial engineering),FIN-598
Engineering internship credited with master project (master in management of technology and entrepreneurship),MGT-597
Engineering internship credited with master project (master in management of technology and entrepreneurship),MGT-597
Engines and fuel cells,ME-551
Enjeux èthiques de l'ingènieur i,HUM-412(c)
Enjeux èthiques de l'ingènieur ii,HUM-412(d)
Enjeux mondiaux: alimentation a,HUM-120(a)
Enjeux mondiaux: alimentation b,HUM-120(b)
Enjeux mondiaux: climat a,HUM-121(a)
Enjeux mondiaux: climat b,HUM-121(b)
Enjeux mondiaux: communication a,HUM-122(a)
Enjeux mondiaux: communication b,HUM-122(b)
Enjeux mondiaux: ènergie a,HUM-123(a)
Enjeux mondiaux: ènergie b,HUM-123(b)
Enjeux mondiaux: mobilitè a,HUM-124(a)
Enjeux mondiaux: mobilitè b,HUM-124(b)
Enjeux mondiaux: santè a,HUM-125(a)
Enjeux mondiaux: santè b,HUM-125(b)
Enjeux politiques contemporains a,HUM-201
Enjeux politiques contemporains b,HUM-250
Enoncè thèorique de master,AR-598
Enoncè thèorique de master,AR-598
Enterprise and service-oriented architecture,CS-491
Entrepreneurship,HUM-348
Entrepreneurship laboratory (e-lab),MGT-517
Entrepreneurship & new venture strategy (a),MGT-413(a)
Entrepreneurship & new venture strategy (b),MGT-413(b)
Environmental chemistry,ENV-200
Environmental policy,MGT-433
Environmental transport phenomena,ENG-420
Environment chemical and biological technology,ChE-404
"Environnements de travail, risques professionnels",ENV-468
Equations diffèrentielles ordinaires,MATH-301
Equilibres et rèactivitè chimiques,CH-101
Equilibrium-stage separation processes,ChE-401
Equivalence cycle master,
Equivalence cycle master,
Espaces mètriques et topologiques,MATH-220
Esthètique des ouvrages de gènie civil,CIVIL-476
…tat et droits humains,HUM-208
Ethique de la recherche scientifique,HUM-329
Ethique de l'environnement,HUM-359
Ethique sociale et politique a,HUM-207(a)
Ethique sociale et politique b,HUM-271
Etude et analyse des systëmes ènergètiques,CIVIL-340
Etudes d'impact,ENG-474
…tudes musicales b,HUM-228
…tudes musicales d,HUM-331
…tudes musicales ii,HUM-414(b)
Evaluations des apprentissages,HEP-404
Evolutionary robotics,MICRO-515
Experimental cognitive psychology i,HUM-403(a)
Experimental cognitive psychology ii,HUM-403(b)
Experimental design and data analysis with r,ENG-467
Experimental methods in physics,PHYS-405
Exploitation ferroviaire,CIVIL-452
Fabrication assistèe par ordinateur,ME-416
Fab/sim practicals,MICRO-501
Fate and behaviour of organic pollutants,ENV-507
Figuration et reprèsentation de l'architecture,AR-210
Figuration expressive,AR-312
Figuration graphique i,AR-111
Figuration graphique ii,AR-112
Financial big data,FIN-525
Financial econometrics,FIN-407
Financial & managerial accounting,MGT-481
Fixed income analysis,FIN-505
Flexible bioelectronics,MICRO-514
Fluid mechanics (for sie),ENG-272
Fluid mechanics for sv,BIOENG-312
Fluvial biogeosciences,ENV-426
"Foncier, immobilier, logement",AR-491
Fonctions et rèactions organiques i,CH-104
Fonctions et rèactions organiques ii,CH-233
Fonctions et rèactions organiques iii,CH-234
Food biotechnology,ENG-436
Foundations of software,CS-452
Fracture mechanics,ME-432
Fracture of materials,MSE-424
Frontiers in nanosciences,PHYS-407
Functional programming,CS-210
Fundamentals and processes for photovoltaic devices,MICRO-565
Fundamentals of biomedical imaging,PHYS-438
Fundamentals of biophotonics,BIO-443
Fundamentals of biosensors and electronic biochips,EE-515
Fundamentals of neuroengineering,BIOENG-448
Fundamentals of solid-state materials,MSE-423
Fundamentals of traffic operations and control,CIVIL-457
Fundamentals of vlsi design,EE-429
General physics ii,PHYS-114
General physics iii,PHYS-201(d)
General physics iii,PHYS-201(e)
Gènètique et gènomique,BIO-373
Gènie chimique tp,ChE-309
Gènie des bioprocèdès environnementaux,ENV-503
Gènie des procèdès,ENV-201
"Gènie sanitaire, gestion des eaux et des dèchets",ENV-304
Genomics and bioinformatics,BIO-463
Geocomputation,ENV-546
Gèologie,CIVIL-103
Gèologie de la construction et de l'environnement,CIVIL-403
Geomechanics,CIVIL-402
Gèomètrie,MATH-121
Gèomètrie,MATH-123(b)
Gèomètrie analytique (pour cms),PREPA-013
Gèomètrie analytique (pour cms),PREPA-014
Gèomètrie descriptive (pour cms),PREPA-015
Gèomètrie descriptive (pour cms),PREPA-016
Gèomètrie hyperbolique et groupes discrets,MATH-439
Gèomètrie i,MATH-120
Gèomètrie ii,MATH-125
Gèomètrie pour architectes i,MATH-124
Gèomètrie pour architectes ii,MATH-126
Geomonitoring,ENV-445
Geophysics for engineers,CIVIL-448
Gèopolitique et politique de la mondialisation i,HUM-415(a)
Gèopolitique et politique de la mondialisation ii,HUM-415(b)
Gestion de la maintenance des infrastructures,CIVIL-455
Gestion des organisations i,HUM-435(a)
Gestion des organisations ii,HUM-435(b)
Gestion du projet d'architecture,ENG-382
Gestion fonciëre et droit foncier,ENV-460
Global business environment,FIN-523
"Global perspectives, local realities i",HUM-440(a)
"Global perspectives, local realities ii",HUM-440(b)
Gˆdel and recursivity,MATH-483
Going east i,HUM-402(a)
Going east ii,HUM-402(b)
Graph theory,MATH-360
Green highways in residential area,PENS-213
Groundwater and soil remediation,ENV-504
Habitat autonome en zone sinistrèe,PENS-204
Habitat et dèveloppement urbain,AR-465
Habiter mars,PENS-304
Haptic human robot interfaces,MICRO-553
Hardware systems modeling,EE-434
Hardware systems modeling i,EE-432
Hardware systems modeling ii,EE-433
Harmonic analysis,MATH-405
Heat and mass transfer,ME-341
Hf and vhf circuits and techniques i,EE-425
Hf and vhf circuits and techniques ii,EE-525
Histoire contemporaine de la suisse,HUM-371
Histoire de la pensèe èconomique,HUM-340
Histoire de l'architecture i,AR-123
Histoire de l'architecture ii,AR-124
Histoire de l'architecture iii,AR-223
Histoire de l'architecture iv,AR-224
Histoire de l'architecture v,AR-323
Histoire de l'architecture vi,AR-324
Histoire de l'asie contemporaine a,HUM-203(a)
Histoire de l'asie contemporaine b,HUM-324(a)
Histoire de l'habitation,AR-427
Histoire de l'image a,HUM-311
Histoire de l'image b,HUM-321
Histoire de l'image i,HUM-418(a)
Histoire de l'image ii,HUM-418(b)
Histoire de l'innovation,HUM-270
Histoire des ènergies et des transports a,HUM-221(a)
Histoire des ènergies et des transports b,HUM-330(a)
Histoire des mèdias,HUM-263
Histoire des relations internationales,HUM-248(a)
Histoire du bèton,AR-425
Histoire et humanitès digitales,HUM-276
Histoire et thèorie de la photographie,HUM-269
Histoire et thèorie du cinèma,HUM-233
Histoire internationale contemporaine a,HUM-254
Histoire internationale contemporaine b,HUM-312(a)
History of globalization i,HUM-427(a)
History of globalization ii,HUM-427(b)
Hommes / machines i,HUM-416(a)
Hommes / machines ii,HUM-416(b)
How people learn i,HUM-432(a)
How people learn ii,HUM-432(b)
Human computer interaction,CS-486
Humanitaire et technologies,HUM-272
Humanitès digitales,HUM-369
Humanitès digitales i,HUM-439(c)
Humanitès digitales ii,HUM-439(d)
Hydraulic turbomachines,ME-453
Hydraulique fluviale et amènagement de cours d'eau,CIVIL-410
Hydrodynamics,ME-444
Hydrodynamique acoustique,ME-443
Hydrogeophysics,ENV-523
Hydrologie urbaine,ENV-417
Hydrology for engineer,ENV-221
Hydropower plants : generating and pumping units,EE-456
Ic design ii,EE-330
Image analysis and pattern recognition,EE-451
Image and video processing,EE-550
Image communication,EE-551
Image optics ,MICRO-421
Image processing i,MICRO-511
Image processing ii,MICRO-512
Imagery of territory,ENV-540
Images de la nature i,HUM-409(a)
Images de la nature ii,HUM-409(b)
Immunology,BIO-479
Incompressible fluid mechanics,ME-344
Industrial automation,CS-487
Industrial electronics i,EE-465
Industrial electronics ii,EE-565
"Industry dynamics, models & trends",MGT-453
Industry internship in bioengineering,BIOENG-596(a)
Industry internship in bioengineering,BIOENG-596(a)
Industry internship in life sciences and technology,BIOENG-596(b)
Industry internship in life sciences and technology,BIOENG-596(b)
Infection biology,BIO-477
"Information, calcul, communication",CS-110(a)
"Information, calcul, communication",CS-110(b)
"Information, calcul, communication",CS-110(c)
"Information, calcul, communication",CS-110(d)
"Information, calcul, communication",CS-110(f)
Information security and privacy,COM-402
Information : strategy & economics,MGT-431
Information technology and digital strategy,MGT-439
Information theory and coding,COM-404
Informatique du temps rèel,CS-321
Informatique (pour cms),PREPA-017
Informatique (pour cms),PREPA-018
Informatique (pour gc),CIVIL-260
Informatique pour l'ingènieur,ENV-270
Ingènierie optique i,MICRO-321
Ingènierie optique ii,MICRO-322
Initiation ‡ l'èlectronique,EE-282
Innovation management,MGT-411
Inorganic reactivity,CH-423
In silico neuroscience,BIOENG-450
Instability,ME-466
Integrated circuits technology,EE-532
Integrated optics,MICRO-522
Intelligence artificielle,CS-330
Intelligent agents,CS-430
Interdisciplinary / disciplinary project for chemical master,CH-492
Interfaces in biology and nanoscience,MICRO-391
Internet analytics,COM-308
"Internet : enjeux sociaux, enjeux mondiaux i",HUM-405(a)
"Internet : enjeux sociaux, enjeux mondiaux ii",HUM-405(b)
Internship project for nus in a start-up,
Introduction ‡ la chimie organique i,CH-162
Introduction ‡ la chimie organique ii,CH-163
Introduction ‡ la commande des systëmes dynamiques,ME-273
Introduction ‡ la conception mècanique,ME-105
Introduction ‡ la gèomètrie riemannienne,MATH-422
Introduction ‡ la mècanique des structures,ME-103
Introduction ‡ la microscopie + tp,MSE-352
Introduction ‡ la photonique,EE-340
Introduction ‡ la physique des astroparticules,PHYS-439
Introduction ‡ la programmation,CS-107
Introduction ‡ la science des matèriaux (sem. automne),MSE-100(b)
Introduction ‡ la science des matèriaux (sem. printemps),MSE-100(c)
Introduction ‡ la thèorie algèbrique des nombres,MATH-312
Introduction ‡ la thèorie analytique des nombres,MATH-313
Introduction ‡ l'informatique visuelle,CS-211
